MamaDo.mid

@393, Channel 1, Program change: Fingered Bs.
@8694, Channel 3, Note on:  F4
@8817, Channel 3, Note off: F4
@8821, Channel 1, Note off: D#2
@8826, Channel 9, Note on:  D#2
@8832, Channel 0, Note on:  D#5
@8832, Channel 0, Note on:  F#4
@8832, Channel 0, Note on:  A#4
@8832, Channel 9, Note on:  E2
@8837, Channel 3, Note on:  F#4
@8847, Channel 1, Note on:  F#1
@8888, Channel 9, Note off: E2
@8910, Channel 9, Note off: D#2
@8997, Channel 0, Note off: A#4
@9017, Channel 0, Note off: D#5
@9022, Channel 0, Note off: F#4
@9048, Channel 3, Note off: F#4
@9199, Channel 3, Note on:  G#4
@9216, Channel 0, Note on:  D#5
@9216, Channel 0, Note on:  B4
@9216, Channel 0, Note on:  G#4
@9221, Channel 1, Note on:  G#1
@9222, Channel 9, Note on:  C2
@9236, Channel 1, Note off: F#1
@9329, Channel 9, Note off: C2
@9403, Channel 0, Note off: D#5
@9404, Channel 0, Note off: G#4
@9411, Channel 0, Note off: B4
@9421, Channel 3, Note off: G#4
@9453, Channel 3, Note on:  F#4
@9494, Channel 3, Note off: F#4
@9592, Channel 3, Note on:  G#4
@9596, Channel 9, Note on:  D#2
@9600, Channel 0, Note on:  D#5
@9600, Channel 0, Note on:  B4
@9600, Channel 0, Note on:  G#4
@9601, Channel 9, Note on:  E2
@9647, Channel 9, Note off: D#2
@9678, Channel 9, Note off: E2
@9710, Channel 1, Note off: G#1
@9770, Channel 0, Note off: D#5
@9772, Channel 0, Note off: G#4
@9776, Channel 0, Note off: B4
@9822, Channel 3, Note on:  F#4
@9829, Channel 9, Note on:  D#2
@9834, Channel 3, Note off: G#4
@9837, Channel 9, Note on:  C2
@9894, Channel 9, Note off: D#2
@9896, Channel 9, Note off: C2
@9906, Channel 3, Note off: F#4
@9984, Channel 0, Note on:  G#4
@9984, Channel 0, Note on:  D#5
@9984, Channel 0, Note on:  B4
@9987, Channel 3, Note on:  G#4
@9990, Channel 9, Note on:  C2
@10070, Channel 3, Note on:  F#4
@10087, Channel 9, Note off: C2
@10089, Channel 3, Note off: G#4
@10162, Channel 3, Note off: F#4
@10169, Channel 0, Note off: D#5
@10172, Channel 0, Note off: G#4
@10179, Channel 3, Note on:  D#4
@10182, Channel 0, Note off: B4
@10351, Channel 9, Note on:  D#2
@10368, Channel 0, Note on:  G#4
@10368, Channel 0, Note on:  D#5
@10368, Channel 0, Note on:  B4
@10368, Channel 9, Note on:  E2
@10418, Channel 9, Note off: D#2
@10424, Channel 9, Note off: E2
@10548, Channel 0, Note off: G#4
@10551, Channel 0, Note off: D#5
@10559, Channel 0, Note off: B4
@10751, Channel 1, Note on:  G#1
