MidiFile.mid
@342, Channel 9, Program change: Piano 1     
@58083, Channel 5, Note on:     2
@58084, Channel 5, Note on:     3
@58106, Channel 4, Note off:    2
@58109, Channel 4, Note on:     2
@58153, Channel 5, Note off:    2
@58154, Channel 5, Note off:    3
@58174, Channel 4, Note off:    2
@58176, Channel 4, Note on:     3
@58180, Channel 5, Note on:     3
@58285, Channel 4, Note off:    3
@58288, Channel 5, Note off:    3
@58305, Channel 4, Note on:     2
@58310, Channel 5, Note on:     2
@58338, Channel 4, Note off:    2
@58343, Channel 5, Note off:    2
@58369, Channel 4, Note on:     2
@58372, Channel 5, Note on:     2
@58432, Channel 4, Note on:     2
@58434, Channel 4, Note off:    2
@58435, Channel 5, Note on:     2
@58437, Channel 5, Note off:    2
@58530, Channel 5, Note off:    2
@58550, Channel 4, Note off:    2
@58558, Channel 4, Note on:     2
@58561, Channel 5, Note on:     2
@58665, Channel 4, Note off:    2
@58668, Channel 5, Note off:    2
@58688, Channel 4, Note on:     2
@58692, Channel 5, Note on:     2
@58735, Channel 4, Note off:    2
@58739, Channel 5, Note off:    2
@58753, Channel 4, Note on:     1
@58758, Channel 5, Note on:     1
@58813, Channel 4, Note off:    1
@58817, Channel 4, Note on:     3
@58818, Channel 5, Note off:    1
@58821, Channel 5, Note on:     3
@58926, Channel 4, Note off:    3
@58930, Channel 5, Note off:    3
@58948, Channel 4, Note on:     3
@58953, Channel 5, Note on:     3
@59073, Channel 4, Note on:     2
@59075, Channel 4, Note off:    3
@59077, Channel 5, Note on:     2
@59080, Channel 5, Note off:    3
@59117, Channel 4, Note off:    2
@59121, Channel 5, Note off:    2
@59137, Channel 4, Note on:     2
@59140, Channel 5, Note on:     2
@59200, Channel 4, Note on:     2
@59202, Channel 5, Note on:     2
@59202, Channel 4, Note off:    2
@59205, Channel 5, Note off:    2
@59260, Channel 4, Note off:    2
@59262, Channel 5, Note off:    2
@59270, Channel 4, Note on:     2
@59275, Channel 5, Note on:     2
@59325, Channel 4, Note on:     2
@59328, Channel 5, Note on:     2
@59330, Channel 4, Note off:    2
@59335, Channel 5, Note off:    2
@59386, Channel 4, Note off:    2
@59389, Channel 5, Note off:    2
@59391, Channel 4, Note on:     2
@59393, Channel 5, Note on:     2
@59452, Channel 4, Note off:    2
@59454, Channel 5, Note off:    2
@59456, Channel 4, Note on:     2
@59460, Channel 5, Note on:     2
@59673, Channel 4, Note off:    2
@59677, Channel 5, Note off:    2
@59712, Channel 4, Note on:     3
@59715, Channel 5, Note on:     3
@59821, Channel 4, Note off:    3
@59824, Channel 5, Note off:    3
@59841, Channel 4, Note on:     2
@59843, Channel 5, Note on:     2
@59874, Channel 4, Note off:    2
@59876, Channel 5, Note off:    2
@59905, Channel 4, Note on:     2
@59908, Channel 5, Note on:     2
@59968, Channel 4, Note on:     2
@59970, Channel 5, Note on:     2
@59970, Channel 4, Note off:    2
@59973, Channel 5, Note off:    2
@60065, Channel 5, Note off:    2
@60084, Channel 4, Note off:    2
@60094, Channel 4, Note on:     2
@60098, Channel 5, Note on:     2
@60201, Channel 4, Note off:    2
@60205, Channel 5, Note off:    2
@60224, Channel 4, Note on:     2
@60229, Channel 5, Note on:     2
@60271, Channel 4, Note off:    2
@60276, Channel 5, Note off:    2
@60289, Channel 4, Note on:     1
@60293, Channel 5, Note on:     1
@60349, Channel 4, Note off:    1
@60353, Channel 5, Note off:    1
@60353, Channel 4, Note on:     3
@60357, Channel 5, Note on:     3
@60462, Channel 4, Note off:    3
@60466, Channel 5, Note off:    3
@60484, Channel 4, Note on:     3
@60489, Channel 5, Note on:     3
@60609, Channel 4, Note on:     2
@60611, Channel 4, Note off:    3
@60612, Channel 5, Note on:     2
@60616, Channel 5, Note off:    3
@60653, Channel 4, Note off:    2
@60656, Channel 5, Note off:    2
@60673, Channel 4, Note on:     2
@60677, Channel 5, Note on:     2
@60736, Channel 4, Note on:     2
@60738, Channel 5, Note on:     2
@60738, Channel 4, Note off:    2
@60742, Channel 5, Note off:    2
@60860, Channel 4, Note off:    2
@60861, Channel 4, Note on:     2
@60862, Channel 5, Note off:    2
@60863, Channel 5, Note on:     2
@60925, Channel 4, Note off:    2
@60927, Channel 5, Note off:    2
@60927, Channel 4, Note on:     1
@60932, Channel 5, Note on:     1
@60989, Channel 4, Note off:    1
@60992, Channel 4, Note on:     2
@60994, Channel 5, Note on:     2
@60994, Channel 5, Note off:    1
@61220, Channel 4, Note off:    2
@61222, Channel 5, Note off:    2
@61246, Channel 4, Note on:     1
@61246, Channel 4, Note on:     2
@61252, Channel 5, Note on:     2
@62350, Channel 4, Note off:    1
@62354, Channel 4, Note off:    2
@62360, Channel 5, Note off:    2
@62399, Channel 4, Note on:     2
@62399, Channel 4, Note on:     3
@62401, Channel 5, Note on:     3
@62753, Channel 4, Note off:    2
@62761, Channel 4, Note off:    3
@62763, Channel 5, Note off:    3
@62784, Channel 4, Note on:     2
@62785, Channel 4, Note on:     1
@62785, Channel 5, Note on:     2
@63140, Channel 4, Note off:    2
@63141, Channel 5, Note off:    2
@63141, Channel 4, Note off:    1
@63168, Channel 4, Note on:     1
@63172, Channel 5, Note on:     1
@63232, Channel 4, Note on:     3
@63234, Channel 5, Note on:     3
@63248, Channel 4, Note off:    1
@63252, Channel 5, Note off:    1
@63294, Channel 4, Note off:    3
@63296, Channel 5, Note off:    3
@63298, Channel 4, Note on:     3
@63301, Channel 5, Note on:     3
@63354, Channel 4, Note off:    3
@63357, Channel 5, Note off:    3
@63361, Channel 4, Note on:     1
@63364, Channel 5, Note on:     1
@63424, Channel 4, Note on:     3
@63427, Channel 5, Note on:     3
@63433, Channel 4, Note off:    1
@63436, Channel 5, Note off:    1
@63482, Channel 4, Note off:    3
@63485, Channel 5, Note off:    3
@63488, Channel 4, Note on:     3
@63489, Channel 5, Note on:     3
@63552, Channel 4, Note on:     2
@63554, Channel 5, Note on:     2
@63562, Channel 4, Note off:    3
@63563, Channel 5, Note off:    3
@63672, Channel 4, Note off:    2
@63674, Channel 5, Note off:    2
@63678, Channel 4, Note on:     4
@63684, Channel 5, Note on:     4
@63870, Channel 4, Note on:     3
@63912, Channel 4, Note off:    4
@63918, Channel 5, Note off:    4
@63933, Channel 4, Note off:    3
@63934, Channel 4, Note on:     1
@63934, Channel 4, Note on:     2
@63944, Channel 5, Note on:     2
@64635, Channel 4, Note off:    1
@64640, Channel 4, Note on:     1
@64673, Channel 5, Note off:    2
@64702, Channel 4, Note on:     1
@64702, Channel 4, Note on:     2
@64707, Channel 5, Note on:     2
@65063, Channel 4, Note on:     1
@65074, Channel 4, Note off:    2
@65075, Channel 4, Note off:    2
@65076, Channel 4, Note off:    1
@65087, Channel 4, Note on:     1
@65087, Channel 4, Note on:     2
@65087, Channel 4, Note on:     3
@65097, Channel 5, Note on:     3
@65113, Channel 5, Note off:    2
@65441, Channel 4, Note off:    2
@65449, Channel 4, Note off:    1
@65449, Channel 4, Note off:    3
@65465, Channel 5, Note off:    3
@65471, Channel 4, Note on:     2
@65471, Channel 4, Note on:     3
@65474, Channel 5, Note on:     3
@65480, Channel 4, Note on:     3
@65885, Channel 5, Note off:    3
@65942, Channel 4, Note off:    2
@65942, Channel 4, Note off:    3
@65951, Channel 4, Note off:    3
@65975, Channel 4, Note on:     3
@65975, Channel 5, Note on:     3
@65975, Channel 4, Note on:     3
@66082, Channel 5, Note off:    3
@66082, Channel 4, Note off:    3
@66082, Channel 4, Note off:    3
@66102, Channel 5, Note on:     3
@66110, Channel 4, Note on:     1
@66110, Channel 4, Note on:     3
@66208, Channel 4, Note off:    1
@66208, Channel 4, Note off:    3
@66209, Channel 5, Note off:    3
@66230, Channel 5, Note on:     3
@66241, Channel 4, Note on:     2
@66241, Channel 4, Note on:     3
@66974, Channel 5, Note off:    3
@66986, Channel 4, Note off:    2
@66986, Channel 4, Note off:    3
@66999, Channel 5, Note on:     2
@67008, Channel 4, Note on:     2
@67009, Channel 4, Note on:     1
@67397, Channel 5, Note on:     3
@67419, Channel 5, Note off:    2
@67522, Channel 5, Note on:     3
@67529, Channel 5, Note off:    3
@67657, Channel 5, Note off:    3
@67666, Channel 5, Note on:     1
@67732, Channel 5, Note on:     2
@67741, Channel 5, Note off:    1
@67748, Channel 4, Note off:    2
@67749, Channel 4, Note off:    1
@67772, Channel 5, Note off:    2
@67776, Channel 4, Note on:     3
@67777, Channel 4, Note on:     2
@67783, Channel 5, Note on:     1
@68516, Channel 4, Note off:    3
@68517, Channel 4, Note off:    2
@68522, Channel 5, Note off:    1
@68527, Channel 5, Note on:     2
@68544, Channel 4, Note on:     2
@68545, Channel 4, Note on:     1
@68918, Channel 5, Note off:    2
@68928, Channel 5, Note on:     1
@69051, Channel 5, Note on:     3
@69060, Channel 5, Note off:    1
@69124, Channel 5, Note on:     3
@69125, Channel 5, Note off:    3
@69179, Channel 5, Note on:     3
@69210, Channel 5, Note off:    3
@69239, Channel 5, Note on:     1
@69256, Channel 5, Note off:    3
@69284, Channel 4, Note off:    2
@69285, Channel 4, Note off:    1
@69312, Channel 5, Note on:     1
@69312, Channel 4, Note on:     3
@69313, Channel 4, Note on:     2
@69315, Channel 5, Note off:    1
@69668, Channel 4, Note off:    3
@69669, Channel 4, Note off:    2
@69683, Channel 5, Note on:     2
@69696, Channel 4, Note on:     2
@69697, Channel 4, Note on:     1
@69701, Channel 5, Note off:    1
@70052, Channel 4, Note off:    2
@70053, Channel 4, Note off:    1
@70054, Channel 5, Note off:    2
@70066, Channel 5, Note on:     1
@70080, Channel 4, Note on:     3
@70081, Channel 4, Note on:     2
@70436, Channel 5, Note off:    1
@70436, Channel 4, Note off:    3
@70437, Channel 4, Note off:    2
@70448, Channel 5, Note on:     2
@70464, Channel 4, Note on:     2
@70465, Channel 4, Note on:     1
@70763, Channel 5, Note off:    2
@70784, Channel 5, Note on:     1
@70820, Channel 4, Note off:    2
@70821, Channel 4, Note off:    1
@70845, Channel 5, Note on:     1
@70848, Channel 4, Note on:     3
@70852, Channel 5, Note on:     3
@70957, Channel 4, Note off:    3
@70960, Channel 5, Note off:    3
@70977, Channel 4, Note on:     2
@70982, Channel 5, Note on:     2
@71010, Channel 4, Note off:    2
@71015, Channel 5, Note off:    2
@71041, Channel 4, Note on:     2
@71044, Channel 5, Note on:     2
@71104, Channel 4, Note on:     2
@71106, Channel 4, Note off:    2
@71107, Channel 5, Note on:     2
@71109, Channel 5, Note off:    2
@71202, Channel 5, Note off:    2
@71220, Channel 4, Note off:    2
@71230, Channel 4, Note on:     2
@71233, Channel 5, Note on:     2
@71337, Channel 4, Note off:    2
@71340, Channel 5, Note off:    2
@71360, Channel 4, Note on:     2
@71364, Channel 5, Note on:     2
@71407, Channel 4, Note off:    2
@71411, Channel 5, Note off:    2
@71425, Channel 4, Note on:     1
@71430, Channel 5, Note on:     1
@71485, Channel 4, Note off:    1
@71489, Channel 4, Note on:     3
@71490, Channel 5, Note off:    1
@71493, Channel 5, Note on:     3
@71598, Channel 4, Note off:    3
@71602, Channel 5, Note off:    3
@71620, Channel 4, Note on:     3
@71625, Channel 5, Note on:     3
@71745, Channel 4, Note on:     2
@71747, Channel 4, Note off:    3
@71749, Channel 5, Note on:     2
@71752, Channel 5, Note off:    3
@71789, Channel 4, Note off:    2
@71793, Channel 5, Note off:    2
@71809, Channel 4, Note on:     2
@71812, Channel 5, Note on:     2
@71872, Channel 4, Note on:     2
@71874, Channel 5, Note on:     2
@71874, Channel 4, Note off:    2
@71877, Channel 5, Note off:    2
@71932, Channel 4, Note off:    2
@71934, Channel 5, Note off:    2
@71942, Channel 4, Note on:     2
@71947, Channel 5, Note on:     2
@71997, Channel 4, Note on:     2
@72000, Channel 5, Note on:     2
@72002, Channel 4, Note off:    2
@72007, Channel 5, Note off:    2
@72058, Channel 4, Note off:    2
@72061, Channel 5, Note off:    2
@72063, Channel 4, Note on:     2
@72065, Channel 5, Note on:     2
@72124, Channel 4, Note off:    2
@72126, Channel 5, Note off:    2
@72128, Channel 4, Note on:     2
@72132, Channel 5, Note on:     2
@72345, Channel 4, Note off:    2
@72349, Channel 5, Note off:    2
@72384, Channel 4, Note on:     3
@72387, Channel 5, Note on:     3
@72493, Channel 4, Note off:    3
@72496, Channel 5, Note off:    3
@72513, Channel 4, Note on:     2
@72515, Channel 5, Note on:     2
@72546, Channel 4, Note off:    2
@72548, Channel 5, Note off:    2
@72577, Channel 4, Note on:     2
@72580, Channel 5, Note on:     2
@72640, Channel 4, Note on:     2
@72642, Channel 5, Note on:     2
@72642, Channel 4, Note off:    2
@72645, Channel 5, Note off:    2
@72737, Channel 5, Note off:    2
@72756, Channel 4, Note off:    2
@72766, Channel 4, Note on:     2
@72770, Channel 5, Note on:     2
@72873, Channel 4, Note off:    2
@72877, Channel 5, Note off:    2
@72896, Channel 4, Note on:     2
@72901, Channel 5, Note on:     2
@72943, Channel 4, Note off:    2
@72948, Channel 5, Note off:    2
@72961, Channel 4, Note on:     1
@72965, Channel 5, Note on:     1
@73021, Channel 4, Note off:    1
@73025, Channel 5, Note off:    1
@73025, Channel 4, Note on:     3
@73029, Channel 5, Note on:     3
@73134, Channel 4, Note off:    3
@73138, Channel 5, Note off:    3
@73156, Channel 4, Note on:     3
@73161, Channel 5, Note on:     3
@73281, Channel 4, Note on:     2
@73283, Channel 4, Note off:    3
@73284, Channel 5, Note on:     2
@73288, Channel 5, Note off:    3
@73389, Channel 4, Note off:    2
@73392, Channel 5, Note off:    2
@73408, Channel 4, Note on:     2
@73410, Channel 5, Note on:     2
@73532, Channel 4, Note off:    2
@73533, Channel 4, Note on:     2
@73534, Channel 5, Note off:    2
@73535, Channel 5, Note on:     2
@73660, Channel 4, Note off:    2
@73663, Channel 5, Note off:    2
@73663, Channel 4, Note on:     1
@73668, Channel 5, Note on:     1
@73725, Channel 4, Note off:    1
@73728, Channel 4, Note on:     3
@73730, Channel 5, Note off:    1
@73732, Channel 5, Note on:     3
@73784, Channel 4, Note off:    3
@73789, Channel 4, Note on:     3
@73794, Channel 5, Note on:     3
@73794, Channel 5, Note off:    3
@73905, Channel 5, Note off:    3
@73916, Channel 4, Note off:    3
@73920, Channel 4, Note on:     3
@73928, Channel 5, Note on:     3
@73984, Channel 4, Note on:     3
@73995, Channel 5, Note on:     3
@74001, Channel 5, Note off:    3
@74008, Channel 4, Note off:    3
@74048, Channel 4, Note on:     1
@74051, Channel 5, Note off:    3
@74051, Channel 4, Note off:    3
@74060, Channel 5, Note on:     1
@74170, Channel 4, Note off:    1
@74173, Channel 5, Note on:     3
@74173, Channel 5, Note off:    1
@74176, Channel 4, Note on:     3
@74227, Channel 5, Note off:    3
@74233, Channel 4, Note off:    3
@74236, Channel 5, Note on:     1
@74240, Channel 4, Note on:     1
@74289, Channel 5, Note off:    1
@74298, Channel 5, Note on:     4
@74301, Channel 4, Note off:    1
@74304, Channel 4, Note on:     4
@74412, Channel 5, Note off:    4
@74416, Channel 5, Note on:     1
@74426, Channel 4, Note off:    4
@74432, Channel 4, Note on:     1
@74466, Channel 5, Note off:    1
@74488, Channel 5, Note on:     4
@74496, Channel 4, Note on:     4
@74499, Channel 4, Note off:    1
@74554, Channel 5, Note on:     4
@74560, Channel 4, Note on:     4
@74562, Channel 5, Note off:    4
@74570, Channel 4, Note off:    4
@74682, Channel 5, Note off:    4
@74689, Channel 5, Note on:     2
@74689, Channel 4, Note on:     2
@74690, Channel 5, Note on:     3
@74693, Channel 4, Note off:    4
@74694, Channel 4, Note on:     3
@74754, Channel 4, Note on:     3
@74780, Channel 4, Note off:    3
@74817, Channel 4, Note on:     3
@74823, Channel 4, Note off:    3
@74880, Channel 4, Note on:     3
@74897, Channel 4, Note off:    3
@74942, Channel 4, Note on:     1
@74945, Channel 4, Note off:    3
@75006, Channel 4, Note on:     4
@75011, Channel 4, Note off:    1
@75069, Channel 4, Note on:     4
@75079, Channel 4, Note off:    4
@75132, Channel 4, Note on:     4
@75140, Channel 4, Note off:    4
@75195, Channel 4, Note on:     4
@75205, Channel 4, Note off:    4
@75258, Channel 4, Note on:     4
@75268, Channel 4, Note off:    4
@75320, Channel 4, Note on:     4
@75321, Channel 4, Note off:    4
@75399, Channel 5, Note off:    3
@75414, Channel 5, Note off:    2
@75414, Channel 4, Note off:    2
@75439, Channel 4, Note on:     3
@75441, Channel 5, Note on:     2
@75441, Channel 4, Note on:     2
@75465, Channel 4, Note off:    4
@75648, Channel 5, Note on:     3
@75710, Channel 5, Note on:     3
@75713, Channel 5, Note off:    3
@75774, Channel 5, Note on:     3
@75779, Channel 5, Note off:    3
@75837, Channel 5, Note on:     3
@75847, Channel 5, Note off:    3
@75900, Channel 5, Note on:     3
@75908, Channel 5, Note off:    3
@75963, Channel 5, Note on:     3
@75973, Channel 5, Note off:    3
@76026, Channel 5, Note on:     3
@76036, Channel 5, Note off:    3
@76088, Channel 5, Note on:     1
@76089, Channel 5, Note off:    3
